condition_name,runs,preset_name,duration_seconds_mean,duration_seconds_min,duration_seconds_max,duration_seconds_std,failure_rate_mean,failure_rate_min,failure_rate_max,failure_rate_std,faithfulness_mean,faithfulness_min,faithfulness_max,faithfulness_std,context_recall_mean,context_recall_min,context_recall_max,context_recall_std
docs_cs1200_ov0,3,docs_only,9661.905070,9490.773058,9923.804292,188.074502,0.000000,0.000000,0.000000,0.000000,0.711369,0.688113,0.727782,0.016902,0.929875,0.890204,0.952358,0.028135
docs_cs1200_ov80,3,docs_only,9458.303911,9181.031095,9623.209087,197.231183,0.000000,0.000000,0.000000,0.000000,0.671068,0.653777,0.689238,0.014490,0.927972,0.906956,0.946298,0.016174
docs_cs400_ov0,3,docs_only,9679.580487,9539.997888,9761.961560,99.233660,0.000000,0.000000,0.000000,0.000000,0.533605,0.500281,0.569603,0.028364,0.840304,0.818288,0.879195,0.027580
docs_cs400_ov80,3,docs_only,9858.326727,9566.378666,10060.553475,211.486203,0.000000,0.000000,0.000000,0.000000,0.527907,0.508322,0.547061,0.015818,0.875894,0.856667,0.903810,0.020203
docs_cs800_ov0,3,docs_only,9844.692743,9786.373737,9957.620821,79.866572,0.002381,0.000000,0.007143,0.003367,0.623836,0.616937,0.634360,0.007561,0.928998,0.924506,0.931848,0.003214
docs_cs800_ov80,3,docs_only,9934.381026,9735.489941,10064.100726,142.793026,0.000000,0.000000,0.000000,0.000000,0.639443,0.618341,0.655877,0.015675,0.889941,0.884510,0.896224,0.004820
