stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_precision_without_reference,context_recall,factual_correctness,faithfulness
stage7_prompt_ablation,v4_prompt,v4_prompt,2,/app/artifacts/experiments/protocol_final_3runs/stage7_prompt_ablation/v4_prompt/run_02,/app/.polaris_experiment_stage7_prompt_ablation__v4_prompt.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,484.130473,0.025000,28,0.674775,0.761019,0.365517,0.606238
stage7_prompt_ablation,v4_prompt,v4_prompt,1,/app/artifacts/experiments/protocol_final_3runs/stage7_prompt_ablation/v4_prompt/run_01,/app/.polaris_experiment_stage7_prompt_ablation__v4_prompt.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,531.080192,0.025000,28,0.731075,0.767819,0.364138,0.612973
stage7_prompt_ablation,v4_prompt,v4_prompt,3,/app/artifacts/experiments/protocol_final_3runs/stage7_prompt_ablation/v4_prompt/run_03,/app/.polaris_experiment_stage7_prompt_ablation__v4_prompt.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,493.466008,0.033333,28,0.744610,0.762231,0.328621,0.564681
stage7_prompt_ablation,v3_ticket_prompt,v3_ticket_prompt,3,/app/artifacts/experiments/protocol_final_3runs/stage7_prompt_ablation/v3_ticket_prompt/run_03,/app/.polaris_experiment_stage7_prompt_ablation__v3_ticket_prompt.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,516.814226,0.025000,28,0.725436,0.808902,0.301034,0.567412
stage7_prompt_ablation,v3_ticket_prompt,v3_ticket_prompt,2,/app/artifacts/experiments/protocol_final_3runs/stage7_prompt_ablation/v3_ticket_prompt/run_02,/app/.polaris_experiment_stage7_prompt_ablation__v3_ticket_prompt.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,538.402221,0.025000,28,0.757186,0.750291,0.280667,0.537252
stage7_prompt_ablation,v3_ticket_prompt,v3_ticket_prompt,1,/app/artifacts/experiments/protocol_final_3runs/stage7_prompt_ablation/v3_ticket_prompt/run_01,/app/.polaris_experiment_stage7_prompt_ablation__v3_ticket_prompt.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,503.307853,0.041667,28,0.735706,0.748682,0.256897,0.521051
