condition_name,label_name,label_value,row_count,mean_context_precision_without_reference,mean_context_recall,mean_factual_correctness,mean_faithfulness,mean_reference,mean_response,mean_user_input
all_docs_validity_aware,__all__,all,30,0.6984374527408757,0.7763854079643553,nan,0.5018512750865692,,,
all_docs_validity_aware,source_needed,both,8,0.7779846938622021,0.7378341687552213,nan,0.5772185331008861,,,
all_docs_validity_aware,source_needed,docs,14,0.6451587301442706,0.8273809523809524,nan,0.5100907029478458,,,
all_docs_validity_aware,source_needed,tickets,8,0.712127976163608,0.7256944444444444,0.16125,0.4120650183150183,,,
all_docs_validity_aware,docs_scope_needed,local_and_external,5,0.5792380952246534,0.5456140350877193,nan,0.537928737928738,,,
all_docs_validity_aware,docs_scope_needed,local_official,17,0.7270534880467141,0.8681139122315593,nan,0.533492612731367,,,
all_docs_validity_aware,docs_scope_needed,none,8,0.712127976163608,0.7256944444444444,0.16125,0.4120650183150183,,,
all_docs_validity_aware,validity_sensitive,no,2,0.8615079364920066,0.9166666666666667,0.33,0.6349206349206349,,,
all_docs_validity_aware,validity_sensitive,yes,28,0.6867895610443663,0.7663653180570474,nan,0.4923463208127074,,,
all_docs_validity_aware,attachment_dependent,no,28,0.696455093924776,0.7871986513903807,nan,0.510568673856489,,,
all_docs_validity_aware,attachment_dependent,yes,2,0.7261904761662699,0.625,0.21000000000000002,0.3798076923076923,,,
all_docs_validity_aware,query_type,general_how_to,3,0.8521164020918933,0.9444444444444445,0.24333333333333337,0.42328042328042326,,,
all_docs_validity_aware,query_type,local_operational,21,0.71431351904019,0.8442932728647015,nan,0.5283834901481961,,,
all_docs_validity_aware,query_type,software_version,6,0.5660317460177667,0.45467836257309946,nan,0.44827394827394834,,,
all_docs_validity_aware,version_sensitive,no,24,0.7315388794216529,0.8568121693121693,nan,0.5152456067897244,,,
all_docs_validity_aware,version_sensitive,yes,6,0.5660317460177667,0.45467836257309946,nan,0.44827394827394834,,,
all_docs_validity_aware,system_scope_required,no,3,0.6775132274974488,0.888888888888889,0.35000000000000003,0.5002035002035002,,,
all_docs_validity_aware,system_scope_required,yes,27,0.700762366656812,0.7638850211949628,nan,0.502034361184688,,,
validity_aware,__all__,all,30,0.7416592970331982,nan,0.25866666666666666,nan,,,
validity_aware,source_needed,both,8,0.7767928004383355,0.7965909090909091,0.355,nan,,,
validity_aware,source_needed,docs,14,0.6996853741339495,0.801360544217687,0.2414285714285714,0.6172876726448155,,,
validity_aware,source_needed,tickets,8,0.779980158701746,nan,0.1925,0.31211219336219337,,,
validity_aware,docs_scope_needed,local_and_external,5,0.5861564625728014,0.8857142857142858,0.22999999999999998,0.4112554112554112,,,
validity_aware,docs_scope_needed,local_official,17,0.7693620781481159,0.7743060860707919,0.2982352941176471,nan,,,
validity_aware,docs_scope_needed,none,8,0.779980158701746,nan,0.1925,0.31211219336219337,,,
validity_aware,validity_sensitive,no,2,0.9374999999828125,0.9166666666666667,0.295,0.9166666666666667,,,
validity_aware,validity_sensitive,yes,28,0.7276706753939399,nan,0.25607142857142856,nan,,,
validity_aware,attachment_dependent,no,28,0.737049927094671,nan,0.26107142857142857,nan,,,
validity_aware,attachment_dependent,yes,2,0.8061904761725784,0.9375,0.225,0.3875,,,
validity_aware,query_type,general_how_to,3,0.8531746031574405,0.8777777777777778,0.24,0.6111111111111112,,,
validity_aware,query_type,local_operational,21,0.7727488931872053,nan,0.26761904761904765,nan,,,
validity_aware,query_type,software_version,6,0.5770880574320524,0.7380952380952381,0.23666666666666666,0.3797498797498797,,,
validity_aware,version_sensitive,no,24,0.7828021069334846,nan,0.26416666666666666,nan,,,
validity_aware,version_sensitive,yes,6,0.5770880574320524,0.7380952380952381,0.23666666666666666,0.3797498797498797,,,
validity_aware,system_scope_required,no,3,0.7833333333179167,0.9444444444444445,0.3433333333333333,0.7323232323232324,,,
validity_aware,system_scope_required,yes,27,0.7370288485571183,nan,0.24925925925925924,nan,,,
