condition_name,runs,preset_name,duration_seconds_mean,duration_seconds_min,duration_seconds_max,duration_seconds_std,failure_rate_mean,failure_rate_min,failure_rate_max,failure_rate_std,factual_correctness_mean,factual_correctness_min,factual_correctness_max,factual_correctness_std,faithfulness_mean,faithfulness_min,faithfulness_max,faithfulness_std,context_recall_mean,context_recall_min,context_recall_max,context_recall_std,context_precision_without_reference_mean,context_precision_without_reference_min,context_precision_without_reference_max,context_precision_without_reference_std
all_docs_validity_aware,3,all_docs_validity_aware,480.436836,428.925671,530.597670,41.518400,0.013889,0.008333,0.025000,0.007857,0.262090,0.245926,0.282414,0.015184,0.538777,0.501851,0.566164,0.027108,0.812651,0.776385,0.834974,0.025871,0.688227,0.668846,0.698437,0.013711
validity_aware,3,validity_aware,456.556780,434.235908,490.160241,24.184780,0.025000,0.016667,0.033333,0.006804,0.272889,0.258667,0.288276,0.012116,0.563407,0.528294,0.614074,0.036706,0.769801,0.749220,0.794640,0.018786,0.723233,0.697081,0.741659,0.019001
