stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_precision_without_reference,context_recall,factual_correctness,faithfulness
stage6_external_docs_ablation,validity_aware,validity_aware,2,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage6_external_docs_ablation/validity_aware/run_02,/app/.polaris_experiment_stage6_external_docs_ablation__validity_aware.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,445.274192,0.033333,28,0.697081,0.749220,0.288276,0.547855
stage6_external_docs_ablation,all_docs_validity_aware,all_docs_validity_aware,2,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage6_external_docs_ablation/all_docs_validity_aware/run_02,/app/.polaris_experiment_stage6_external_docs_ablation__all_docs_validity_aware.yaml,all_docs_validity_aware,14f556f5514999eeb8eef525125461e8fc320092b134048e14365bac87faf3b1,30,481.787167,0.008333,28,0.697397,0.826593,0.282414,0.566164
stage6_external_docs_ablation,validity_aware,validity_aware,1,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage6_external_docs_ablation/validity_aware/run_01,/app/.polaris_experiment_stage6_external_docs_ablation__validity_aware.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,434.235908,0.025000,28,0.730958,0.765542,0.271724,0.614074
stage6_external_docs_ablation,validity_aware,validity_aware,3,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage6_external_docs_ablation/validity_aware/run_03,/app/.polaris_experiment_stage6_external_docs_ablation__validity_aware.yaml,validity_aware,e1b2db4c1bc5752d135b7fee80750e395d405cf2cf97e8c61f283b949460e145,30,490.160241,0.016667,28,0.741659,0.794640,0.258667,0.528294
stage6_external_docs_ablation,all_docs_validity_aware,all_docs_validity_aware,1,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage6_external_docs_ablation/all_docs_validity_aware/run_01,/app/.polaris_experiment_stage6_external_docs_ablation__all_docs_validity_aware.yaml,all_docs_validity_aware,14f556f5514999eeb8eef525125461e8fc320092b134048e14365bac87faf3b1,30,530.597670,0.008333,28,0.668846,0.834974,0.257931,0.548314
stage6_external_docs_ablation,all_docs_validity_aware,all_docs_validity_aware,3,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage6_external_docs_ablation/all_docs_validity_aware/run_03,/app/.polaris_experiment_stage6_external_docs_ablation__all_docs_validity_aware.yaml,all_docs_validity_aware,14f556f5514999eeb8eef525125461e8fc320092b134048e14365bac87faf3b1,30,428.925671,0.025000,28,0.698437,0.776385,0.245926,0.501851
