stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b4_combined_chunking_followup,docs_cs800_ov0_tickets_cs800_ov80,docs_cs800_ov0_tickets_cs800_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov0_tickets_cs800_ov80/run_01,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov0_tickets_cs800_ov80.yaml,naive_combined,76f1560a8eeb199d854190ef587c2a45e120a89d5fe2dd9140014633af67e51e,70,7807.052866,0.104762,1,0.668759,0.256610,0.544587
stage0b4_combined_chunking_followup,docs_cs800_ov80_tickets_cs800_ov80,docs_cs800_ov80_tickets_cs800_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov80_tickets_cs800_ov80/run_01,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov80_tickets_cs800_ov80.yaml,naive_combined,5e8d1aba317cebbf023305c51a4461e050df1e5da0c53bc3745cf759baf85bcb,70,7073.043064,0.057143,1,0.633634,0.220781,0.600275
stage0b4_combined_chunking_followup,docs_cs1200_ov80_tickets_cs800_ov80,docs_cs1200_ov80_tickets_cs800_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs1200_ov80_tickets_cs800_ov80/run_01,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs1200_ov80_tickets_cs800_ov80.yaml,naive_combined,af817f78e600c6840e2fc59fdb46523d57644688b148d3cde4146a6f93f7c6b7,70,7806.740449,0.019048,1,0.641232,0.207941,0.494740
