condition_name,runs,preset_name,duration_seconds_mean,duration_seconds_min,duration_seconds_max,duration_seconds_std,failure_rate_mean,failure_rate_min,failure_rate_max,failure_rate_std,factual_correctness_mean,factual_correctness_min,factual_correctness_max,factual_correctness_std,faithfulness_mean,faithfulness_min,faithfulness_max,faithfulness_std,context_recall_mean,context_recall_min,context_recall_max,context_recall_std
docs_cs1200_ov0,3,docs_only,1108.275577,1044.472180,1144.316831,45.242245,0.017460,0.009524,0.023810,0.005939,0.284460,0.273529,0.294328,0.008524,0.276130,0.259255,0.304060,0.019892,0.502442,0.484254,0.519148,0.014284
docs_cs1200_ov80,3,docs_only,1068.790015,944.853102,1210.508478,109.179767,0.012698,0.009524,0.019048,0.004490,0.301429,0.286765,0.314478,0.011371,0.305846,0.300457,0.313197,0.005383,0.547982,0.535619,0.564351,0.012067
docs_cs400_ov0,3,docs_only,1198.126793,1134.523183,1245.402383,46.715468,0.012698,0.009524,0.014286,0.002245,0.279150,0.253971,0.303623,0.020277,0.339747,0.333261,0.344013,0.004662,0.495565,0.478211,0.514380,0.014802
docs_cs400_ov80,3,docs_only,985.988687,857.074605,1165.827215,131.090346,0.012698,0.009524,0.019048,0.004490,0.274660,0.253971,0.289275,0.015040,0.334764,0.295369,0.372768,0.031614,0.570254,0.548734,0.593506,0.018319
docs_cs800_ov0,3,docs_only,1061.135999,994.475065,1106.658948,48.176182,0.011111,0.009524,0.014286,0.002245,0.288720,0.273333,0.302537,0.011974,0.326126,0.309323,0.338649,0.012349,0.491213,0.469440,0.507685,0.016057
docs_cs800_ov80,3,docs_only,1004.672811,978.941316,1038.047279,24.727717,0.023810,0.019048,0.028571,0.003888,0.288974,0.281364,0.298939,0.007366,0.310237,0.296975,0.317283,0.009384,0.511794,0.481202,0.557615,0.033002
