condition_name,runs,preset_name,duration_seconds_mean,duration_seconds_min,duration_seconds_max,duration_seconds_std,failure_rate_mean,failure_rate_min,failure_rate_max,failure_rate_std,factual_correctness_mean,factual_correctness_min,factual_correctness_max,factual_correctness_std,faithfulness_mean,faithfulness_min,faithfulness_max,faithfulness_std,context_recall_mean,context_recall_min,context_recall_max,context_recall_std
tickets_cs1000_ov0,3,tickets_only,765.282087,678.851753,820.664970,61.917716,0.109524,0.023810,0.271429,0.114550,0.317949,0.298438,0.330408,0.013972,0.544375,0.533063,0.559144,0.010924,0.686746,0.664706,0.718757,0.023165
tickets_cs1000_ov80,3,tickets_only,726.591366,676.839248,752.357510,35.187566,0.050794,0.042857,0.061905,0.008094,0.326104,0.316250,0.338413,0.009213,0.528066,0.504532,0.543915,0.016972,0.691036,0.656508,0.727109,0.028843
tickets_cs600_ov0,3,tickets_only,677.724392,564.853228,743.546490,80.179098,0.182540,0.090476,0.271429,0.073908,0.322255,0.312143,0.332000,0.008111,0.558282,0.554376,0.565105,0.004841,0.676999,0.666366,0.697894,0.014776
tickets_cs600_ov80,3,tickets_only,689.505064,635.902894,717.029424,37.907059,0.130159,0.100000,0.190476,0.042651,0.323677,0.316066,0.337222,0.009603,0.558529,0.548908,0.577420,0.013359,0.708336,0.691817,0.735510,0.019363
tickets_cs800_ov0,3,tickets_only,755.685891,713.785328,817.952946,44.898543,0.074603,0.047619,0.104762,0.023436,0.295983,0.292097,0.299697,0.003105,0.546410,0.521723,0.562617,0.017739,0.689419,0.671896,0.720112,0.021776
tickets_cs800_ov80,3,tickets_only,755.547279,683.551239,802.817271,51.734126,0.068254,0.038095,0.123810,0.039332,0.307146,0.293559,0.315455,0.009687,0.527201,0.499898,0.546529,0.019855,0.671376,0.661712,0.682199,0.008404
