stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b3_combined_sanity,combined_selected_chunking,combined_selected_chunking,2,/app/artifacts/experiments/protocol_final_3runs/stage0b3_combined_sanity/combined_selected_chunking/run_02,/app/.polaris_experiment_stage0b3_combined_sanity__combined_selected_chunking.yaml,naive_combined,cafc096f06bbbea0f9f5b114e44df319f62cb26756686032b93ce96dd6b5a801,70,767.099140,0.042857,28,0.646279,0.321692,0.524383
stage0b3_combined_sanity,combined_selected_chunking,combined_selected_chunking,1,/app/artifacts/experiments/protocol_final_3runs/stage0b3_combined_sanity/combined_selected_chunking/run_01,/app/.polaris_experiment_stage0b3_combined_sanity__combined_selected_chunking.yaml,naive_combined,cafc096f06bbbea0f9f5b114e44df319f62cb26756686032b93ce96dd6b5a801,70,610.774467,0.252381,28,0.681376,0.316923,0.465733
stage0b3_combined_sanity,combined_selected_chunking,combined_selected_chunking,3,/app/artifacts/experiments/protocol_final_3runs/stage0b3_combined_sanity/combined_selected_chunking/run_03,/app/.polaris_experiment_stage0b3_combined_sanity__combined_selected_chunking.yaml,naive_combined,cafc096f06bbbea0f9f5b114e44df319f62cb26756686032b93ce96dd6b5a801,70,793.544268,0.038095,28,0.647410,0.316094,0.496931
