stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0c_retrieval_mode_pilot,vector_naive_combined,vector_naive_combined,3,/app/artifacts/experiments/protocol_final_3runs/stage0c_retrieval_mode_pilot/vector_naive_combined/run_03,/app/.polaris_experiment_stage0c_retrieval_mode_pilot__vector_naive_combined.yaml,naive_combined,11e334388bb0cf3ca58ed378804df21fd7fda31313313e61254c4185070703bd,70,537.985023,0.385714,28,0.723594,0.333409,0.546791
stage0c_retrieval_mode_pilot,vector_naive_combined,vector_naive_combined,1,/app/artifacts/experiments/protocol_final_3runs/stage0c_retrieval_mode_pilot/vector_naive_combined/run_01,/app/.polaris_experiment_stage0c_retrieval_mode_pilot__vector_naive_combined.yaml,naive_combined,11e334388bb0cf3ca58ed378804df21fd7fda31313313e61254c4185070703bd,70,683.929861,0.200000,28,0.659859,0.326727,0.513923
stage0c_retrieval_mode_pilot,vector_naive_combined,vector_naive_combined,2,/app/artifacts/experiments/protocol_final_3runs/stage0c_retrieval_mode_pilot/vector_naive_combined/run_02,/app/.polaris_experiment_stage0c_retrieval_mode_pilot__vector_naive_combined.yaml,naive_combined,11e334388bb0cf3ca58ed378804df21fd7fda31313313e61254c4185070703bd,70,460.674128,0.442857,28,0.628135,0.299737,0.466792
stage0c_retrieval_mode_pilot,dense_bm25_naive_combined,dense_bm25_naive_combined,1,/app/artifacts/experiments/protocol_final_3runs/stage0c_retrieval_mode_pilot/dense_bm25_naive_combined/run_01,/app/.polaris_experiment_stage0c_retrieval_mode_pilot__dense_bm25_naive_combined.yaml,naive_combined,516a2aff34388d878fb8e1e55a3de3e039fba9f13dc56e99bb8e4644e91c8f9f,70,749.226157,0.052381,28,0.683580,0.280923,0.548043
