stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b3_combined_sanity,combined_selected_chunking,combined_selected_chunking,1,/app/artifacts/experiments/protocol_final_3runs/stage0b3_combined_sanity/combined_selected_chunking/run_01,/app/.polaris_experiment_stage0b3_combined_sanity__combined_selected_chunking.yaml,naive_combined,55e96655000984864840fe54a4149f6d1b2f48bbc34ded179d3c8d8f7872a9c6,70,979.360115,0.038095,28,0.678561,0.335758,0.490062
stage0b3_combined_sanity,combined_selected_chunking,combined_selected_chunking,3,/app/artifacts/experiments/protocol_final_3runs/stage0b3_combined_sanity/combined_selected_chunking/run_03,/app/.polaris_experiment_stage0b3_combined_sanity__combined_selected_chunking.yaml,naive_combined,55e96655000984864840fe54a4149f6d1b2f48bbc34ded179d3c8d8f7872a9c6,70,1118.129119,0.014286,28,0.690782,0.324179,0.439240
stage0b3_combined_sanity,combined_selected_chunking,combined_selected_chunking,2,/app/artifacts/experiments/protocol_final_3runs/stage0b3_combined_sanity/combined_selected_chunking/run_02,/app/.polaris_experiment_stage0b3_combined_sanity__combined_selected_chunking.yaml,naive_combined,55e96655000984864840fe54a4149f6d1b2f48bbc34ded179d3c8d8f7872a9c6,70,955.211829,0.009524,28,0.668181,0.301029,0.438030
