condition_name,runs,preset_name,duration_seconds_mean,duration_seconds_min,duration_seconds_max,duration_seconds_std,failure_rate_mean,failure_rate_min,failure_rate_max,failure_rate_std,factual_correctness_mean,factual_correctness_min,factual_correctness_max,factual_correctness_std,faithfulness_mean,faithfulness_min,faithfulness_max,faithfulness_std,context_recall_mean,context_recall_min,context_recall_max,context_recall_std,context_precision_without_reference_mean,context_precision_without_reference_min,context_precision_without_reference_max,context_precision_without_reference_std
docs_only,3,docs_only,553.591835,456.692350,603.469540,68.528202,0.027778,0.025000,0.033333,0.003928,0.235705,0.228621,0.244828,0.006772,0.419152,0.364633,0.452881,0.038911,0.585520,0.574987,0.595747,0.008478,0.793622,0.774735,0.817287,0.017697
naive_combined,3,naive_combined,454.906618,439.560952,469.629445,12.283309,0.033333,0.025000,0.041667,0.006804,0.297693,0.291379,0.309630,0.008445,0.498752,0.472117,0.529988,0.023849,0.699316,0.644418,0.738410,0.039966,0.755997,0.726663,0.788937,0.025551
tickets_only,3,tickets_only,523.638805,479.801949,546.701402,31.011412,0.022222,0.016667,0.025000,0.003928,0.317727,0.299286,0.336897,0.015363,0.485011,0.443571,0.550000,0.046531,0.747236,0.738690,0.756705,0.007383,0.747855,0.705334,0.771288,0.030120
