stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_precision_without_reference,context_recall,factual_correctness,faithfulness
stage4_source_ablation,tickets_only,tickets_only,3,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/tickets_only/run_03,/app/.polaris_experiment_stage4_source_ablation__tickets_only.yaml,tickets_only,8e79a46a242b937a3b52d3bce79e83a5c7e6de1ed49f74343c48bcaa3e2d3f15,30,544.413064,0.025000,28,0.771288,0.738690,0.336897,0.550000
stage4_source_ablation,tickets_only,tickets_only,2,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/tickets_only/run_02,/app/.polaris_experiment_stage4_source_ablation__tickets_only.yaml,tickets_only,8e79a46a242b937a3b52d3bce79e83a5c7e6de1ed49f74343c48bcaa3e2d3f15,30,546.701402,0.016667,28,0.705334,0.746314,0.317000,0.443571
stage4_source_ablation,naive_combined,naive_combined,1,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/naive_combined/run_01,/app/.polaris_experiment_stage4_source_ablation__naive_combined.yaml,naive_combined,bda73dd8e7fc88e45a3bc5dc009519d5407276adbad7ea895864ad7a31a8e4b6,30,455.529457,0.041667,28,0.726663,0.738410,0.309630,0.494150
stage4_source_ablation,tickets_only,tickets_only,1,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/tickets_only/run_01,/app/.polaris_experiment_stage4_source_ablation__tickets_only.yaml,tickets_only,8e79a46a242b937a3b52d3bce79e83a5c7e6de1ed49f74343c48bcaa3e2d3f15,30,479.801949,0.025000,28,0.766944,0.756705,0.299286,0.461463
stage4_source_ablation,naive_combined,naive_combined,2,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/naive_combined/run_02,/app/.polaris_experiment_stage4_source_ablation__naive_combined.yaml,naive_combined,bda73dd8e7fc88e45a3bc5dc009519d5407276adbad7ea895864ad7a31a8e4b6,30,439.560952,0.025000,28,0.788937,0.715120,0.292069,0.529988
stage4_source_ablation,naive_combined,naive_combined,3,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/naive_combined/run_03,/app/.polaris_experiment_stage4_source_ablation__naive_combined.yaml,naive_combined,bda73dd8e7fc88e45a3bc5dc009519d5407276adbad7ea895864ad7a31a8e4b6,30,469.629445,0.033333,28,0.752392,0.644418,0.291379,0.472117
stage4_source_ablation,docs_only,docs_only,3,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/docs_only/run_03,/app/.polaris_experiment_stage4_source_ablation__docs_only.yaml,docs_only,4dea0c5a145c9cd9678ee0ce087ed3fef4b9432ef6c367c9d98a31835dbad5e6,30,456.692350,0.025000,28,0.774735,0.574987,0.244828,0.364633
stage4_source_ablation,docs_only,docs_only,1,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/docs_only/run_01,/app/.polaris_experiment_stage4_source_ablation__docs_only.yaml,docs_only,4dea0c5a145c9cd9678ee0ce087ed3fef4b9432ef6c367c9d98a31835dbad5e6,30,600.613615,0.025000,28,0.788843,0.595747,0.233667,0.439942
stage4_source_ablation,docs_only,docs_only,2,/Users/adam/Documents/University/Third Year Project/rag_project/artifacts/experiments/protocol_final_3runs/stage4_source_ablation/docs_only/run_02,/app/.polaris_experiment_stage4_source_ablation__docs_only.yaml,docs_only,4dea0c5a145c9cd9678ee0ce087ed3fef4b9432ef6c367c9d98a31835dbad5e6,30,603.469540,0.033333,28,0.817287,0.585827,0.228621,0.452881
